epoch,acc,loss,val_acc,val_loss
0,0.876,0.279877375587821,0.903,0.23650748953223227
1,0.8795,0.2726261249929667,0.905,0.23670695945620537
2,0.871,0.28855316653847696,0.897,0.24266121417284012
3,0.885,0.2758731394261122,0.903,0.23705601468682289
4,0.8845,0.2733785031735897,0.895,0.24480396054685116
5,0.873,0.2893734973669052,0.901,0.23903204306960105
6,0.882,0.26550422437489035,0.904,0.23681148260831833
7,0.8845,0.26742928847670555,0.907,0.23713141396641732
8,0.8875,0.26594849325716496,0.902,0.23754555583000184
9,0.885,0.27618965178728105,0.906,0.23586438573896884
10,0.8835,0.26749128006398676,0.902,0.23933316729962825
11,0.8965,0.2560121769458055,0.901,0.23962926737964152
12,0.8755,0.2709172663837671,0.904,0.23733344301581383
13,0.891,0.2654254075139761,0.902,0.23814613610506058
14,0.8885,0.26669198177754877,0.904,0.23604703605175018
15,0.891,0.2670486840605736,0.905,0.23656022056937218
16,0.8905,0.2739471430331469,0.906,0.23638994827866555
17,0.874,0.28065944612026217,0.907,0.23643995359539985
18,0.887,0.26375703915953636,0.909,0.23721972241997719
19,0.885,0.2712579606473446,0.904,0.2382974351197481
20,0.887,0.26850263580679895,0.91,0.23716364949941635
21,0.8875,0.2614114635437727,0.905,0.2377053491771221
22,0.889,0.26188291039317846,0.906,0.23860879734158516
23,0.8825,0.260251791998744,0.905,0.2377893978357315
24,0.884,0.2626556794345379,0.914,0.23699877612292766
25,0.8845,0.26988603606820105,0.903,0.2386636380851269
26,0.888,0.26353418223559855,0.903,0.23744362361729146
27,0.894,0.25644188970327375,0.908,0.23711108073592185
28,0.8865,0.2653835889697075,0.903,0.23762256205081939
29,0.8905,0.24594866275787353,0.902,0.23954401433467865
30,0.889,0.2537292644381523,0.908,0.23828669175505637
31,0.888,0.25879237689077855,0.9,0.24317848607897757
32,0.8935,0.260637384057045,0.906,0.23797560468316079
33,0.885,0.2648926228284836,0.906,0.24138598188757895
34,0.8915,0.25497466217726467,0.903,0.23796317946165801
35,0.88,0.2630844763666391,0.903,0.23796576041728257
36,0.894,0.25762794114649296,0.901,0.23713660515844823
37,0.888,0.2593869397044182,0.906,0.23732513286173343
38,0.8895,0.25040950275957585,0.9,0.245074822306633
39,0.897,0.26319607321172955,0.899,0.23669982027262448
40,0.8955,0.2510906248539686,0.907,0.23665509834885598
41,0.901,0.25563991606235503,0.903,0.23746997058391572
42,0.8915,0.25490320563316343,0.901,0.2374118585139513
43,0.888,0.25886359587311747,0.902,0.23745267897844313
44,0.8925,0.2519056983664632,0.904,0.23777840107679368
45,0.89,0.25725499957799913,0.904,0.23768727317452432
46,0.886,0.25745573118329046,0.906,0.23916395999491213
47,0.889,0.2602873677760363,0.905,0.2368603378534317
48,0.894,0.24934200704097748,0.906,0.23579204320907593
49,0.8825,0.2651956801116466,0.904,0.24013532154262066
50,0.899,0.25076116889715194,0.9,0.23943566117435694
51,0.889,0.24776411429047585,0.908,0.2363685730099678
52,0.884,0.26174735262989995,0.91,0.23617407567799092
53,0.887,0.25306107886135576,0.909,0.2353565388172865
54,0.893,0.24975708238780497,0.902,0.2386548864096403
55,0.8825,0.25821826681494714,0.91,0.23717090040445327
56,0.89,0.2592271181195974,0.908,0.23742470711469651
57,0.8865,0.2590384244173765,0.903,0.24272149354219436
58,0.8985,0.24013617604970933,0.908,0.2380135563015938
59,0.901,0.2486210909485817,0.91,0.2370294437557459
60,0.9015,0.24116138622164726,0.912,0.23795720800757408
61,0.8925,0.2453610622882843,0.91,0.23832285709679127
62,0.9025,0.24045545019209386,0.907,0.2400159029662609
63,0.895,0.24457096289843322,0.906,0.2378117610514164
64,0.8955,0.2537224151194096,0.909,0.23905555628240108
65,0.896,0.2538964986056089,0.897,0.24450352482497692
66,0.9,0.24009336274117232,0.909,0.2374655009806156
67,0.8955,0.25292660519480703,0.906,0.23638527393341063
68,0.897,0.25308143071830275,0.908,0.24009403094649315
69,0.903,0.2326775523275137,0.903,0.24370418839156627
70,0.8915,0.2527906344085932,0.903,0.2372530896961689
71,0.896,0.2576135761663318,0.906,0.23691373467445373
