epoch,acc,loss,val_acc,val_loss
0,0.674,0.6057283401489257,0.826,0.4538846331834793
1,0.7805,0.4890546482801437,0.856,0.364301301240921
2,0.7935,0.4401738035678864,0.868,0.33014818459749223
3,0.8095,0.41459558546543124,0.882,0.30558693408966064
4,0.831,0.3857863216102123,0.879,0.290869714319706
5,0.832,0.37477044567465784,0.892,0.27585405588150025
6,0.839,0.3620499922335148,0.895,0.2714642104506493
7,0.8475,0.35141446337103843,0.892,0.2715923009812832
8,0.8475,0.35441493317484857,0.879,0.2751632922887802
9,0.858,0.3246491639316082,0.868,0.2878031031787395
10,0.854,0.33297493383288385,0.889,0.2636883729696274
11,0.8445,0.3391872462630272,0.894,0.2536922180652618
12,0.8555,0.33264208763837816,0.896,0.2498684485256672
13,0.8615,0.3155742187798023,0.893,0.2513968469202518
14,0.872,0.3012262709438801,0.872,0.29970878824591635
15,0.8635,0.31682116284966466,0.9,0.24456712260842323
16,0.864,0.3199956093728542,0.9,0.24584399059414863
17,0.8635,0.3067326033115387,0.893,0.2540280696749687
18,0.867,0.2994565081596374,0.894,0.25033832132816314
19,0.8655,0.29769553512334823,0.901,0.24215456396341323
20,0.8725,0.29978392720222474,0.902,0.2477825214713812
21,0.867,0.2978930461406708,0.903,0.23966915816068649
22,0.878,0.2931162369251251,0.895,0.24111091822385788
23,0.877,0.2901856034994125,0.896,0.242087469547987
24,0.865,0.29412818677723407,0.899,0.2402809489518404
25,0.8715,0.301244333460927,0.899,0.24974963031709194
26,0.877,0.29539946004748346,0.901,0.24082985356450082
27,0.8795,0.28455678895115855,0.902,0.23746403872966768
28,0.8705,0.28487393699586394,0.894,0.251992542296648
29,0.8735,0.29762671019881964,0.895,0.2420942910015583
